analyze-counts --verbose=1 --binary=false --counts-dim=1280 'ark:ali-to-pdf exp_FG/tri_8_2000_ali/final.mdl "ark:gunzip -c exp_FG/tri_8_2000_ali/ali.*.gz |" ark:- |' exp_FG/blstm4i/ali_train_pdf.counts 
ali-to-pdf exp_FG/tri_8_2000_ali/final.mdl 'ark:gunzip -c exp_FG/tri_8_2000_ali/ali.*.gz |' ark:- 
LOG (ali-to-pdf[5.5.1074~1-71f3]:main():ali-to-pdf.cc:68) Converted 2919 alignments to pdf sequences.
LOG (analyze-counts[5.5.1074~1-71f3]:main():analyze-counts.cc:191) Printing...
### The sorted count table,
count	(norm),	id	(symbol):
265	(0.000317585),	1186	
266	(0.000318784),	308	
266	(0.000318784),	1189	
267	(0.000319982),	65	
267	(0.000319982),	85	
267	(0.000319982),	366	
267	(0.000319982),	575	
267	(0.000319982),	689	
267	(0.000319982),	996	
267	(0.000319982),	1084	
268	(0.00032118),	433	
269	(0.000322379),	149	
269	(0.000322379),	178	
269	(0.000322379),	1111	
271	(0.000324776),	527	
271	(0.000324776),	823	
271	(0.000324776),	1229	
273	(0.000327173),	171	
273	(0.000327173),	665	
273	(0.000327173),	830	
274	(0.000328371),	350	
274	(0.000328371),	765	
274	(0.000328371),	1123	
275	(0.000329569),	165	
275	(0.000329569),	206	
276	(0.000330768),	481	
276	(0.000330768),	702	
276	(0.000330768),	790	
276	(0.000330768),	930	
276	(0.000330768),	1072	
276	(0.000330768),	1138	
276	(0.000330768),	1270	
277	(0.000331966),	895	
278	(0.000333165),	867	
278	(0.000333165),	978	
279	(0.000334363),	118	
279	(0.000334363),	749	
279	(0.000334363),	846	
279	(0.000334363),	1168	
280	(0.000335562),	176	
280	(0.000335562),	257	
280	(0.000335562),	295	
280	(0.000335562),	413	
280	(0.000335562),	619	
280	(0.000335562),	741	
280	(0.000335562),	756	
280	(0.000335562),	1176	
280	(0.000335562),	1222	
280	(0.000335562),	1271	
281	(0.00033676),	1154	
282	(0.000337958),	195	
282	(0.000337958),	401	
282	(0.000337958),	827	
283	(0.000339157),	345	
283	(0.000339157),	769	
283	(0.000339157),	863	
283	(0.000339157),	958	
284	(0.000340355),	497	
284	(0.000340355),	905	
285	(0.000341554),	290	
285	(0.000341554),	303	
285	(0.000341554),	820	
285	(0.000341554),	824	
285	(0.000341554),	876	
285	(0.000341554),	898	
285	(0.000341554),	1039	
285	(0.000341554),	1201	
287	(0.000343951),	419	
